ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc
SWAG,"Stran & Company, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001872525,BBG0019ZS5F2,BBG001TH9KP7,2024-04-19T00:00:00Z
SWAV,"Shockwave Medical, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001642545,BBG005XVXML5,BBG005XVXMM4,2024-04-19T00:00:00Z
SWBI,"Smith & Wesson Brands, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001092796,BBG000BM0QL7,BBG001S6MNG1,2024-04-19T00:00:00Z
SWI,SolarWinds Corporation Common Stock,stocks,us,XNYS,CS,True,usd,0001739942,BBG00M1CKSK7,BBG00M1CKT98,2024-04-19T00:00:00Z
SWIM,"Latham Group, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001833197,BBG00ZVXLHH6,BBG00ZVXLJB8,2024-04-19T00:00:00Z
SWIN,Solowin Holdings Ordinary Share,stocks,us,XNAS,CS,True,usd,0001959224,,,2024-04-19T00:00:00Z
SWK,"Stanley Black & Decker, Inc.",stocks,us,XNYS,CS,True,usd,0000093556,BBG000BTQR96,BBG001S5WHT1,2024-04-19T00:00:00Z
SWKH,SWK Holdings Corporation,stocks,us,XNAS,CS,True,usd,0001089907,BBG000BTX131,BBG001SCNSC0,2024-04-19T00:00:00Z
SWKHL,SWK Holdings Corporation 9.00% Senior Notes due 2027,stocks,us,XNAS,CS,True,usd,0001089907,,,2024-04-19T00:00:00Z
SWKS,Skyworks Solutions Inc,stocks,us,XNAS,CS,True,usd,0000004127,BBG000KLB4Q1,BBG001SCYWS2,2024-04-19T00:00:00Z
SWN,Southwestern Energy Company,stocks,us,XNYS,CS,True,usd,0000007332,BBG000BTR593,BBG001S5WHW7,2024-04-19T00:00:00Z
SWSS,Clean Energy Special Situations Corp. Common stock,stocks,us,XNAS,CS,True,usd,0001838000,BBG00ZN75VW2,BBG00ZN75WQ7,2024-04-19T00:00:00Z
SWTX,"SpringWorks Therapeutics, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001773427,BBG00Q011TW9,BBG00Q011TX8,2024-04-19T00:00:00Z
SWVL,Swvl Holdings Corp Class A Common Shares,stocks,us,XNAS,CS,True,usd,0001875609,,,2024-04-19T00:00:00Z
SWX,"Southwest Gas Holdings, Inc.",stocks,us,XNYS,CS,True,usd,0001692115,BBG00FWP4JW4,BBG00FWP4JX3,2024-04-19T00:00:00Z
SXC,SUNCOKE ENERGY INC,stocks,us,XNYS,CS,True,usd,0001514705,BBG000R1YXQ9,BBG001T90D25,2024-04-19T00:00:00Z
SXI,Standex International Corporation,stocks,us,XNYS,CS,True,usd,0000310354,BBG000BTT5B8,BBG001S5WJ53,2024-04-19T00:00:00Z
SXT,Sensient Technology Corporation,stocks,us,XNYS,CS,True,usd,0000310142,BBG000J79P80,BBG001SF0100,2024-04-19T00:00:00Z
SXTC,"China SXT Pharmaceuticals, Inc. Ordinary Shares",stocks,us,XNAS,CS,True,usd,0001723980,,,2024-04-19T00:00:00Z
SXTP,"60 Degrees Pharmaceuticals, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001946563,BBG00NXBJGQ4,BBG00NXBJGR3,2024-04-19T00:00:00Z
SYBT,"Stock Yards Bancorp, Inc.",stocks,us,XNAS,CS,True,usd,0000835324,BBG000FLKSG5,BBG001SBG219,2024-04-19T00:00:00Z
SYBX,"Synlogic, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001527599,BBG000R33JD4,BBG001T92245,2024-04-19T00:00:00Z
